Episode,Steps,Mean_Reward
346,13647,122.28
347,13874,126.64
348,14025,129.04
349,14391,135.3
350,14478,136.5
351,14548,137.38
352,14816,140.62
353,14832,136.26
354,15152,141.74
355,15419,146.02
356,15554,147.44
357,15886,152.4
358,16104,156.52
359,16454,160.28
360,16839,167.48
361,17122,171.4
362,17559,177.02
363,17962,181.46
364,17972,179.8
365,18150,182.14
366,18439,185.56
367,18487,185.06
368,18987,194.26
369,18996,193.38
370,19104,192.8
371,19115,191.72
372,19124,189.5
373,19425,192.68
374,19543,191.62
375,19700,192.22
376,20116,197.02
377,20220,196.7
378,20246,194.6
379,20730,202.48
380,20917,203.6
381,21016,202.82
382,21105,202.72
383,21184,201.74
384,21330,202.4
385,21570,205.56
386,21636,203.58
387,21690,202.72
388,21770,200.08
389,22040,204.36
390,22127,201.18
391,22257,200.38
392,22321,191.84
393,22443,189.9
394,22678,186.42
395,22882,186.98
396,23030,187.66
397,23151,185.54
398,23377,187.04
399,23483,181.84
400,23534,181.12
401,23892,186.88
402,23973,183.14
403,24027,183.9
404,24105,179.06
405,24184,175.3
406,24684,182.6
407,24719,176.66
408,24895,175.82
409,25035,171.62
410,25306,169.34
411,25516,167.88
412,25731,163.44
413,26167,164.1
414,26376,168.08
415,26648,169.96
416,27148,174.18
417,27478,179.82
418,27668,173.62
419,27795,175.98
420,28106,180.04
421,28241,182.52
422,28426,186.04
423,28657,184.64
424,28707,183.28
425,28991,185.82
426,29001,177.7
427,29101,177.62
428,29180,178.68
429,29490,175.2
430,29802,177.7
431,30224,184.16
432,30396,185.82
433,30728,190.88
434,30968,192.76
435,31267,193.94
436,31611,199.5
437,31825,202.7
438,31851,201.62
439,31903,197.26
440,32203,201.52
441,32494,204.74
442,32829,210.16
443,33175,214.64
444,33189,210.22
445,33689,216.14
446,34189,223.18
447,34384,224.66
448,34396,220.38
449,34408,218.5
450,34908,227.48
451,35127,224.7
452,35166,223.86
453,35177,223.0
454,35677,231.44
455,35882,233.96
456,36110,228.52
457,36121,228.04
458,36134,224.78
459,36634,231.98
460,36662,227.12
461,36690,223.48
462,37109,227.56
463,37292,222.5
464,37579,224.06
465,37763,222.3
466,38033,217.7
467,38270,215.84
468,38443,215.5
469,38606,216.22
470,38749,212.86
471,38917,213.52
472,39108,213.64
473,39398,214.82
474,39898,223.82
475,40095,222.08
476,40233,224.64
477,40549,228.96
478,40724,230.88
479,40870,227.6
480,41160,227.16
481,41345,222.42
482,41525,222.58
483,41846,222.36
484,42111,222.86
485,42288,220.42
486,42559,218.96
487,42757,218.64
488,43164,226.26
489,43177,225.48
490,43360,223.14
491,43663,223.38
492,43800,219.42
493,44037,217.24
494,44437,224.96
495,44615,218.52
496,44827,212.76
497,45018,212.68
498,45258,217.24
499,45446,220.76
500,45507,211.98
501,45670,210.86
502,45860,213.88
503,46143,219.32
504,46171,209.88
505,46319,208.74
506,46346,204.72
507,46533,208.24
508,46766,212.64
509,46968,206.68
510,46980,206.36
511,46992,206.04
512,47005,197.92
513,47143,197.02
514,47337,195.16
515,47349,191.72
516,47552,190.38
517,47565,185.9
518,47722,185.58
519,47887,185.62
520,48037,185.76
521,48225,186.16
522,48250,182.84
523,48481,181.66
524,48506,172.16
525,48533,168.76
526,48699,169.32
527,48725,163.52
528,48875,163.02
529,48887,160.34
530,49073,158.26
531,49085,154.8
532,49097,151.44
533,49319,149.46
534,49347,144.72
535,49374,141.72
536,49387,136.56
537,49535,135.56
538,49651,129.74
539,49662,129.7
540,49790,128.6
541,49897,124.68
542,49922,122.44
543,50076,120.78
544,50105,113.36
545,50234,112.38
546,50372,110.9
547,50485,109.34
548,50620,107.24
549,50768,106.44
550,50793,105.72
551,50806,102.72
552,50882,100.44
553,50903,95.2
554,50915,94.88
555,51021,94.04
556,51050,94.08
557,51086,91.06
558,51111,86.9
559,51245,85.54
560,51256,85.52
561,51434,88.84
562,51633,92.56
563,51645,90.04
564,51747,88.2
565,51759,88.2
566,51944,87.84
567,52066,90.02
568,52104,87.64
569,52128,84.82
570,52156,82.38
571,52262,80.74
572,52272,80.44
573,52441,79.2
574,52541,80.7
575,52616,81.66
576,52642,78.86
577,52859,82.68
578,52949,81.48
579,53157,85.4
580,53403,86.6
581,53431,86.92
582,53480,87.66
583,53563,84.88
584,53744,87.94
585,53939,91.3
586,54067,93.6
587,54091,91.12
588,54204,91.06
589,54217,91.1
590,54227,88.74
591,54342,88.9
592,54355,88.66
593,54367,85.82
594,54454,86.98
595,54566,86.64
596,54577,84.1
597,54740,85.1
598,54841,84.42
599,54865,81.94
600,54875,81.64
601,54885,81.58
602,55016,82.68
603,55113,84.2
604,55142,84.54
605,55172,83.02
606,55281,84.62
607,55291,84.1
608,55408,85.94
609,55419,83.48
610,55520,85.28
611,55549,82.3
612,55575,78.84
613,55643,79.96
614,55842,81.9
615,55868,82.18
616,55919,79.5
617,55995,78.58
618,56119,80.3
619,56276,82.96
620,56354,83.96
621,56443,83.62
622,56472,84.0
623,56665,84.48
624,56676,82.7
625,56861,84.9
626,57083,88.82
627,57096,84.74
628,57212,85.26
629,57242,81.7
630,57252,76.98
631,57336,78.1
632,57475,79.9
633,57623,81.2
634,57634,77.8
635,57829,77.8
636,58110,80.86
637,58599,90.16
638,58830,92.52
639,59160,98.86
640,59191,99.28
641,59202,97.2
642,59702,106.94
643,59726,107.18
644,59751,105.94
645,59762,103.92
646,60036,109.18
647,60065,106.5
648,60111,105.4
649,60336,109.42
650,60601,114.52
651,60612,114.54
652,60640,112.48
653,60944,116.62
654,60983,116.82
655,60992,116.4
656,61259,119.56
657,61285,119.88
658,61296,117.76
659,61722,126.06
660,61746,124.52
661,61775,124.52
662,61786,124.22
663,61814,123.42
664,61827,119.7
665,62157,125.78
666,62168,124.98
667,62196,124.02
668,62222,122.06
669,62677,128.02
670,62705,127.02
671,63046,132.06
672,63074,132.04
673,63105,128.8
674,63300,132.48
675,63312,129.02
676,63350,125.34
677,63850,135.08
678,63860,132.96
679,64115,137.46
680,64126,137.48
681,64396,141.2
682,64631,143.12
683,64661,140.76
684,64931,145.94
685,64959,142.6
686,65340,144.6
687,65840,144.82
688,66151,146.42
689,66380,144.4
690,66535,146.88
691,66773,151.42
692,66784,141.64
693,67009,145.66
694,67281,150.6
695,67497,154.7
696,67658,152.44
697,67684,152.38
698,67934,156.46
699,68121,155.7
700,68316,154.3
701,68816,164.08
702,69052,168.24
703,69529,171.7
704,69541,171.16
705,69574,171.64
706,69819,171.2
707,69829,170.88
708,70035,174.78
709,70315,171.86
710,70362,172.32
711,70391,172.32
712,70664,177.56
713,70716,178.04
714,70902,181.5
715,71181,180.48
716,71342,183.48
717,71744,190.96
718,71755,190.66
719,72005,186.56
720,72250,190.9
721,72260,184.28
722,72300,184.52
723,72309,184.08
724,72318,180.36
725,72463,183.02
726,72472,182.44
727,72797,178.94
728,73095,184.7
729,73242,182.54
730,73414,185.76
731,73593,183.94
732,74093,189.24
733,74340,193.58
734,74672,194.82
735,74836,197.54
736,75313,199.46
737,75517,193.54
738,75728,191.54
739,76127,194.94
740,76353,196.36
741,76853,201.6
742,77015,204.62
743,77025,200.32
744,77164,197.66
745,77316,196.38
746,77326,193.36
747,77336,193.04
748,77345,188.22
749,77614,189.86
750,77950,192.68
751,78088,185.44
752,78263,184.22
753,78489,179.2
754,78784,184.86
755,78796,184.44
756,78809,179.8
757,78974,182.9
758,79209,183.48
759,79407,181.84
760,79552,183.8
761,79718,186.54
762,79851,183.74
763,80171,189.1
764,80317,188.3
765,80517,186.72
766,80715,187.46
767,80918,183.48
768,81380,192.5
769,81659,193.08
770,82112,197.24
771,82538,205.56
772,82851,211.02
773,82979,213.4
774,83173,217.1
775,83370,218.14
776,83521,220.98
777,83692,217.9
778,83840,214.9
779,83944,214.04
780,83954,210.8
781,84276,213.66
782,84640,210.94
783,84649,206.18
784,84903,204.62
785,85084,204.96
786,85259,198.92
787,85543,200.52
788,85709,199.62
789,85894,195.34
790,86076,194.46
791,86330,189.54
792,86524,190.18
793,86710,193.7
794,87028,197.28
795,87258,198.84
796,87474,202.96
797,87709,207.46
798,88054,214.18
799,88215,212.02
800,88361,208.22
801,88645,211.14
802,88832,211.38
803,89035,210.92
804,89244,209.2
805,89395,211.98
806,89605,215.92
807,89824,217.0
808,90001,215.84
809,90116,214.18
810,90181,212.58
811,90261,210.86
812,90316,209.3
813,90560,207.78
814,90654,206.74
815,90734,204.34
816,90804,201.78
817,91128,204.2
818,91393,200.26
819,91483,196.48
820,91777,193.3
821,92232,193.88
822,92449,191.96
823,92684,194.1
824,93122,198.98
825,93237,197.34
826,93488,199.34
827,93503,196.22
828,93637,195.94
829,93832,197.76
830,93843,197.78
831,94026,195.0
832,94086,188.92
833,94303,193.08
834,94402,189.98
835,94555,189.42
836,94682,188.46
837,94863,186.4
838,95058,186.98
839,95220,186.52
840,95382,186.12
