Episode,Reward,Mean_Reward
306,11.0,27.62
307,26.0,27.94
308,83.0,28.34
309,41.0,28.28
310,23.0,28.44
311,9.0,28.1
312,17.0,28.22
313,10.0,28.26
314,17.0,28.32
315,12.0,27.78
316,51.0,28.36
317,117.0,30.0
318,23.0,30.26
319,17.0,30.4
320,27.0,30.52
321,11.0,30.54
322,9.0,30.5
323,9.0,30.26
324,30.0,29.5
325,22.0,29.5
326,26.0,28.58
327,56.0,29.24
328,9.0,29.16
329,29.0,29.46
330,10.0,29.4
331,29.0,29.08
332,12.0,28.44
333,9.0,27.84
334,10.0,27.04
335,49.0,26.88
336,43.0,27.44
337,37.0,27.62
338,16.0,27.36
339,23.0,26.88
340,24.0,27.06
341,42.0,27.66
342,46.0,27.96
343,10.0,27.56
344,16.0,27.56
345,10.0,27.56
346,37.0,27.98
347,14.0,27.98
348,12.0,25.78
349,60.0,26.8
350,22.0,27.04
351,9.0,26.32
352,22.0,26.56
353,21.0,26.54
354,10.0,26.02
355,35.0,26.26
356,18.0,26.4
357,44.0,26.76
358,41.0,25.92
359,36.0,25.82
360,29.0,25.94
361,67.0,27.1
362,9.0,26.94
363,8.0,26.9
364,10.0,26.76
365,9.0,26.7
366,9.0,25.86
367,12.0,23.76
368,11.0,23.52
369,42.0,24.02
370,21.0,23.9
371,52.0,24.72
372,23.0,25.0
373,11.0,25.04
374,15.0,24.74
375,27.0,24.84
376,10.0,24.52
377,36.0,24.12
378,19.0,24.32
379,20.0,24.14
380,24.0,24.42
381,9.0,24.02
382,15.0,24.08
383,15.0,24.2
384,12.0,24.24
385,18.0,23.62
386,32.0,23.4
387,24.0,23.14
388,8.0,22.98
389,27.0,23.06
390,41.0,23.4
391,14.0,22.84
392,21.0,22.34
393,41.0,22.96
394,24.0,23.12
395,74.0,24.4
396,24.0,24.14
397,9.0,24.04
398,43.0,24.66
399,22.0,23.9
400,12.0,23.7
401,50.0,24.52
402,10.0,24.28
403,34.0,24.54
404,9.0,24.52
405,40.0,24.62
406,10.0,24.46
407,9.0,23.76
408,10.0,23.14
409,27.0,22.96
410,11.0,22.6
411,13.0,21.52
412,20.0,21.74
413,10.0,21.78
414,11.0,21.8
415,15.0,21.92
416,11.0,21.96
417,91.0,23.54
418,39.0,24.1
419,11.0,23.48
420,24.0,23.54
421,11.0,22.72
422,11.0,22.48
423,27.0,22.8
424,14.0,22.78
425,9.0,22.42
426,40.0,23.02
427,13.0,22.56
428,19.0,22.56
429,37.0,22.9
430,8.0,22.58
431,44.0,23.28
432,33.0,23.64
433,26.0,23.86
434,9.0,23.8
435,35.0,24.14
436,12.0,23.74
437,10.0,23.46
438,59.0,24.48
439,41.0,24.76
440,29.0,24.52
441,15.0,24.54
442,66.0,25.44
443,10.0,24.82
444,9.0,24.52
445,15.0,23.34
446,50.0,23.86
447,46.0,24.6
448,9.0,23.92
449,42.0,24.32
450,52.0,25.12
451,40.0,24.92
452,11.0,24.94
453,40.0,25.06
454,11.0,25.1
455,53.0,25.36
456,19.0,25.54
457,13.0,25.62
458,10.0,25.62
459,51.0,26.1
460,10.0,26.08
461,9.0,26.0
462,84.0,27.28
463,15.0,27.38
464,9.0,27.34
465,9.0,27.22
466,35.0,27.7
467,9.0,26.06
468,54.0,26.36
469,18.0,26.5
470,10.0,26.22
471,11.0,26.22
472,9.0,26.18
473,10.0,25.84
474,8.0,25.72
475,9.0,25.72
476,11.0,25.14
477,9.0,25.06
478,9.0,24.86
479,11.0,24.34
480,13.0,24.44
481,17.0,23.9
482,62.0,24.48
483,12.0,24.2
484,11.0,24.24
485,9.0,23.72
