episode,total_reward,loss,epsilon
1,1.0,0.028734248131513596,0.995
2,1.0,1.5831182054171222e-07,0.990025
3,0.0,4.7228811972388485e-09,0.985074875
4,0.0,4.388454488690741e-09,0.9801495006250001
5,0.0,2.9163172712287633e-06,0.9752487531218751
6,3.0,0.0023300950415432453,0.9703725093562657
7,2.0,0.026477335020899773,0.9655206468094844
8,1.0,5.051538664702093e-06,0.960693043575437
9,0.0,4.746667947586047e-09,0.9558895783575597
10,0.0,3.297905777799315e-06,0.9511101304657719
11,2.0,0.02773899957537651,0.946354579813443
12,2.0,3.2077916785056004e-06,0.9416228069143757
13,1.0,0.000939076766371727,0.9369146928798039
14,0.0,3.2307762012351304e-06,0.9322301194154049
15,0.0,3.2273203487420687e-06,0.9275689688183278
16,1.0,4.6893779654055834e-05,0.9229311239742362
17,2.0,3.411597845115466e-06,0.918316468354365
18,1.0,3.578426230887999e-06,0.9137248860125932
19,0.0,8.524739314452745e-08,0.9091562615825302
20,1.0,0.028558066114783287,0.9046104802746175
21,0.0,3.3642788821452996e-06,0.9000874278732445
22,0.0,3.3834862733783666e-06,0.8955869907338783
23,0.0,3.3188346151291626e-06,0.8911090557802088
24,0.0,3.245206471547135e-06,0.8866535105013078
25,0.0,3.233658389945049e-06,0.8822202429488013
26,0.0,3.287595291112666e-06,0.8778091417340573
27,1.0,7.982585520949215e-05,0.8734200960253871
28,1.0,3.162105713272467e-05,0.8690529955452602
29,0.0,3.8896917686770394e-08,0.8647077305675338
30,0.0,3.22100868288544e-06,0.8603841919146962
31,1.0,0.02916533127427101,0.8560822709551227
32,2.0,0.00025995654868893325,0.851801859600347
33,0.0,4.1179345089403796e-07,0.8475428503023453
34,3.0,0.0003470499941613525,0.8433051360508336
35,0.0,0.00022924684162717313,0.8390886103705794
36,4.0,0.02950112149119377,0.8348931673187264
37,2.0,0.0008109980262815952,0.8307187014821328
38,2.0,1.2234093446750194e-05,0.8265651079747222
39,2.0,0.0040590097196400166,0.8224322824348486
40,2.0,0.0005783819360658526,0.8183201210226743
41,5.0,0.02908368781208992,0.8142285204175609
42,2.0,0.02866368740797043,0.810157377815473
43,0.0,0.0014250094536691904,0.8061065909263957
44,2.0,5.114471605338622e-06,0.8020760579717637
45,0.0,0.0014302160125225782,0.798065677681905
46,2.0,0.028499173000454903,0.7940753492934954
47,1.0,0.0014103157445788383,0.7901049725470279
48,3.0,0.03025875613093376,0.7861544476842928
49,0.0,0.0014077509986236691,0.7822236754458713
50,3.0,0.031203141435980797,0.778312557068642
51,1.0,1.3538756320485845e-05,0.7744209942832988
52,3.0,0.030936893075704575,0.7705488893118823
53,3.0,0.0001065597971319221,0.7666961448653229
54,2.0,0.0009633915033191442,0.7628626641409962
55,5.0,0.032464053481817245,0.7590483508202912
56,0.0,1.658147112948427e-07,0.7552531090661897
57,2.0,0.002850960474461317,0.7514768435208588
58,1.0,0.0028095864690840244,0.7477194593032545
59,0.0,0.0028896748553961515,0.7439808620067382
60,2.0,0.0014837279450148344,0.7402609576967045
61,3.0,0.032842766493558884,0.736559652908221
